#Paddle1,#Paddle2,#Paddle3,#H_S1,#H_S2,#H_S3,#D_S1,#D_S2,#D_S3,#AXIS_S1,#AXIS_S2,#AXIS_S3,#ROT_ANGLE
0.000000,0.000000,0.000000,-0.136374,-0.980755,-0.139719,-0.569298,0.193009,-0.799154,-0.596492,0.736564,-0.318860,139.819383
0.000000,0.000000,19.978102,0.384698,-0.818582,0.426534,-0.215910,-0.529078,-0.820646,-0.806758,0.363804,-0.465605,139.669789
0.000000,0.000000,39.956204,0.535810,-0.371500,0.758218,0.538288,-0.541550,-0.645732,-0.836737,-0.064385,-0.543806,123.227630
0.000000,0.000000,60.058394,0.445366,-0.260014,0.856762,0.895237,0.144441,-0.421530,-0.689238,-0.436153,-0.578551,93.241500
0.000000,0.000000,80.036496,0.583781,-0.398720,0.707264,0.627006,0.774820,-0.080732,-0.336979,-0.721402,-0.605000,57.963265
0.000000,0.000000,100.014599,0.915916,-0.344170,0.206509,0.266947,0.906567,0.326919,0.584208,-0.517747,-0.625011,29.267332
0.000000,0.000000,119.992701,0.875200,0.014510,-0.483544,0.277862,0.803145,0.527021,0.774088,0.606476,-0.181590,46.479658
0.000000,0.000000,139.970803,0.173565,0.198976,-0.964512,0.415052,0.873371,0.254863,0.350300,0.930365,-0.108220,86.676772
0.000000,0.000000,159.948905,-0.566643,-0.258026,-0.782521,0.063845,0.933098,-0.353909,-0.063083,0.978502,-0.196353,124.952860
0.000000,19.978102,0.000000,-0.070404,-0.739172,-0.669827,-0.997397,0.062635,0.035715,-0.655004,0.707104,0.266409,151.011093
0.000000,19.978102,19.978102,0.553152,-0.815239,-0.171490,-0.832363,-0.549382,-0.073157,-0.880556,0.470277,0.058817,171.629688
0.000000,19.978102,39.956204,0.921860,-0.246780,0.298786,-0.195225,-0.961775,-0.192033,-0.980144,0.113457,-0.162622,170.879455
0.000000,19.978102,60.058394,0.742887,0.229865,0.628713,0.551210,-0.742981,-0.379667,-0.927479,-0.228922,-0.295596,147.074119
0.000000,19.978102,80.036496,0.550237,0.186522,0.813910,0.827912,0.004947,-0.560836,-0.808433,-0.483268,-0.335987,107.353085
0.000000,19.978102,100.014599,0.759381,0.007429,0.650603,0.464280,0.694354,-0.549834,-0.727545,-0.634130,-0.261834,60.739383
0.000000,19.978102,119.992701,0.986642,0.134817,0.091440,-0.098741,0.941392,-0.322539,-0.891202,-0.311771,0.329482,20.758635
0.000000,19.978102,139.970803,0.656969,0.387848,-0.646503,-0.497827,0.867158,0.014336,-0.194708,0.792100,0.578504,49.950284
0.000000,19.978102,159.948905,-0.120236,0.125058,-0.984837,-0.689108,0.703588,0.173475,-0.268875,0.868638,0.416143,101.977806
0.000000,39.956204,0.000000,-0.453898,-0.041857,-0.890070,-0.645902,-0.672665,0.361016,-0.494359,0.361517,0.790516,157.538823
0.000000,39.956204,19.978102,-0.017943,-0.653627,-0.756604,-0.335040,-0.709045,0.620487,0.694544,-0.361908,-0.621797,165.156287
0.000000,39.956204,39.956204,0.741966,-0.484302,-0.463613,-0.096378,-0.761375,0.641108,0.926214,-0.172663,-0.335135,144.636825
0.000000,39.956204,60.058394,0.956475,0.238059,-0.168770,0.289232,-0.850151,0.439986,0.988405,0.141293,-0.055604,152.603034
0.000000,39.956204,80.036496,0.641630,0.741037,0.197927,0.755841,-0.654754,0.001146,-0.905823,-0.413815,-0.090778,175.322961
0.000000,39.956204,100.014599,0.411886,0.745304,0.524283,0.838579,-0.084890,-0.538125,-0.804421,-0.590757,-0.062557,131.796194
0.000000,39.956204,119.992701,0.541922,0.661115,0.518891,0.317537,0.410581,-0.854748,-0.741474,-0.648611,0.171815,91.000528
0.000000,39.956204,139.970803,0.588534,0.807926,0.029722,-0.549253,0.426539,-0.718599,-0.601777,-0.333180,0.725848,69.210791
0.000000,39.956204,159.948905,0.066235,0.801656,-0.594105,-0.987558,-0.032440,-0.153873,-0.376862,0.226625,0.898118,95.067875
0.000000,60.058394,0.000000,-0.859854,0.439367,-0.260015,-0.331318,-0.867701,-0.370572,-0.174034,-0.161853,0.971347,156.627387
0.000000,60.058394,19.978102,-0.785670,-0.325851,-0.525874,0.277223,-0.945358,0.171600,0.289468,-0.043097,-0.956217,161.618458
0.000000,60.058394,39.956204,-0.078092,-0.754845,-0.651238,0.670829,-0.523013,0.525780,0.542176,-0.050742,-0.838731,121.799259
0.000000,60.058394,60.058394,0.606442,-0.351979,-0.712979,0.698827,-0.191806,0.689094,0.824303,0.171347,-0.539597,103.170830
0.000000,60.058394,80.036496,0.626090,0.450780,-0.636246,0.753790,-0.141099,0.641788,0.863661,0.473889,-0.171808,118.136388
0.000000,60.058394,100.014599,0.133066,0.939077,-0.316905,0.959990,-0.042629,0.276772,0.738729,0.673539,-0.025006,155.280986
0.000000,60.058394,119.992701,-0.239702,0.957648,0.159543,0.908731,0.279152,-0.310294,-0.603226,-0.793799,0.077469,161.595901
0.000000,60.058394,139.970803,-0.218538,0.876361,0.429222,0.252454,0.475654,-0.842627,-0.453504,-0.811290,0.368975,122.278600
